prev_caption,curr_caption,human_transition,input_text
a man in a black shirt,the cast of the vampires in a scene from the movie,,"Caption 1: a man in a black shirt
Caption 2: the cast of the vampires in a scene from the movie
What's the transition?"
the cast of the vampires in a scene from the movie,a man in a suit and tie is standing in front of a crowd,,"Caption 1: the cast of the vampires in a scene from the movie
Caption 2: a man in a suit and tie is standing in front of a crowd
What's the transition?"
a man in a suit and tie is standing in front of a crowd,a man in a black coat,,"Caption 1: a man in a suit and tie is standing in front of a crowd
Caption 2: a man in a black coat
What's the transition?"
a man in a black jacket,a man in a suit talking to a woman,,"Caption 1: a man in a black jacket
Caption 2: a man in a suit talking to a woman
What's the transition?"
a man in a suit talking to a woman,a man holding a cell,,"Caption 1: a man in a suit talking to a woman
Caption 2: a man holding a cell
What's the transition?"
a man holding a cell,a group of people standing around a table,,"Caption 1: a man holding a cell
Caption 2: a group of people standing around a table
What's the transition?"
a boat is seen in the water as it approaches,a large explosion in the sky,,"Caption 1: a boat is seen in the water as it approaches
Caption 2: a large explosion in the sky
What's the transition?"
a large explosion in the sky,a large white object in the sky,,"Caption 1: a large explosion in the sky
Caption 2: a large white object in the sky
What's the transition?"
a large white object in the sky,a yellow and blue sky,,"Caption 1: a large white object in the sky
Caption 2: a yellow and blue sky
What's the transition?"
a young boy wearing a green shirt,a young boy is sitting in a chair,,"Caption 1: a young boy wearing a green shirt
Caption 2: a young boy is sitting in a chair
What's the transition?"
a young boy is sitting in a chair,a young boy wearing headphones and a green shirt,,"Caption 1: a young boy is sitting in a chair
Caption 2: a young boy wearing headphones and a green shirt
What's the transition?"
a group of zebras,a group of zebras grazing in a field,,"Caption 1: a group of zebras
Caption 2: a group of zebras grazing in a field
What's the transition?"
a white pillow sitting on top of a wooden table,a piece of white paper on a wooden table,,"Caption 1: a white pillow sitting on top of a wooden table
Caption 2: a piece of white paper on a wooden table
What's the transition?"
a woman in a bikini standing on a rock,a man is jumping off a cliff into a river,,"Caption 1: a woman in a bikini standing on a rock
Caption 2: a man is jumping off a cliff into a river
What's the transition?"
a man is jumping off a cliff into a river,a dog jumping into a body of water,,"Caption 1: a man is jumping off a cliff into a river
Caption 2: a dog jumping into a body of water
What's the transition?"
a dog jumping into a body of water,a small pond with water coming out of it,,"Caption 1: a dog jumping into a body of water
Caption 2: a small pond with water coming out of it
What's the transition?"
a small pond with water coming out of it,a man is standing in the water with a bucket,,"Caption 1: a small pond with water coming out of it
Caption 2: a man is standing in the water with a bucket
What's the transition?"
a man is standing in the water with a bucket,a man is swimming in the water,,"Caption 1: a man is standing in the water with a bucket
Caption 2: a man is swimming in the water
What's the transition?"
a picture of a dog and a balloon,a hamie is sitting on a red carpet,,"Caption 1: a picture of a dog and a balloon
Caption 2: a hamie is sitting on a red carpet
What's the transition?"
a man feeding a rabbit in the grass,a man feeding a kangaroo in the grass,,"Caption 1: a man feeding a rabbit in the grass
Caption 2: a man feeding a kangaroo in the grass
What's the transition?"
a dog is laying on the grass in the yard,a dog is laying on the ground with a tennis rack,,"Caption 1: a dog is laying on the grass in the yard
Caption 2: a dog is laying on the ground with a tennis rack
What's the transition?"
a dog is laying on the ground with a tennis rack,a man in a wheelchair is seen from above,,"Caption 1: a dog is laying on the ground with a tennis rack
Caption 2: a man in a wheelchair is seen from above
What's the transition?"
a man in a wheelchair is seen from above,a man riding a bike on a sidewalk,,"Caption 1: a man in a wheelchair is seen from above
Caption 2: a man riding a bike on a sidewalk
What's the transition?"
a chicken eating out of a box on the ground,a chicken is walking around a box,,"Caption 1: a chicken eating out of a box on the ground
Caption 2: a chicken is walking around a box
What's the transition?"
a woman in a white dress,a woman sitting on a couch,,"Caption 1: a woman in a white dress
Caption 2: a woman sitting on a couch
What's the transition?"
a woman sitting on a couch,a woman is brushing her hair with a brush,,"Caption 1: a woman sitting on a couch
Caption 2: a woman is brushing her hair with a brush
What's the transition?"
a woman holding a kitten in her hands,a woman is holding a white shirt,,"Caption 1: a woman holding a kitten in her hands
Caption 2: a woman is holding a white shirt
What's the transition?"
a woman is holding a white shirt,a woman is holding a hair dryer,,"Caption 1: a woman is holding a white shirt
Caption 2: a woman is holding a hair dryer
What's the transition?"
a woman is holding a hair dryer,a woman holding a cat,,"Caption 1: a woman is holding a hair dryer
Caption 2: a woman holding a cat
What's the transition?"
a woman holding a cat,a woman is brushing her hair in the kitchen,,"Caption 1: a woman holding a cat
Caption 2: a woman is brushing her hair in the kitchen
What's the transition?"
a plane flying in the sky,a large cloud in the sky,,"Caption 1: a plane flying in the sky
Caption 2: a large cloud in the sky
What's the transition?"
a large cloud in the sky,a blue sky with white clouds,,"Caption 1: a large cloud in the sky
Caption 2: a blue sky with white clouds
What's the transition?"
a group of people in colorful costumes,a group of people are gathered around a large pile of balloons,,"Caption 1: a group of people in colorful costumes
Caption 2: a group of people are gathered around a large pile of balloons
What's the transition?"
a group of people are gathered around a large pile of balloons,a man is holding a large dragon statue,,"Caption 1: a group of people are gathered around a large pile of balloons
Caption 2: a man is holding a large dragon statue
What's the transition?"
a man is holding a large dragon statue,a man is standing in front of a large pile of plastic bottles,,"Caption 1: a man is holding a large dragon statue
Caption 2: a man is standing in front of a large pile of plastic bottles
What's the transition?"
a man is standing in front of a large pile of plastic bottles,a group of people are standing in a subway station,,"Caption 1: a man is standing in front of a large pile of plastic bottles
Caption 2: a group of people are standing in a subway station
What's the transition?"
a group of people are standing in a subway station,a large group of people standing around a giant sculpture,,"Caption 1: a group of people are standing in a subway station
Caption 2: a large group of people standing around a giant sculpture
What's the transition?"
a large group of people standing around a giant sculpture,a group of people standing around a dragon,,"Caption 1: a large group of people standing around a giant sculpture
Caption 2: a group of people standing around a dragon
What's the transition?"
a group of people in a room with a dragon,a group of people standing around a giant robot,,"Caption 1: a group of people in a room with a dragon
Caption 2: a group of people standing around a giant robot
What's the transition?"
a man in a red shirt is holding a wooden stick,a man in a red shirt,,"Caption 1: a man in a red shirt is holding a wooden stick
Caption 2: a man in a red shirt
What's the transition?"
a man in a red shirt is holding a wooden spoon,a man in a kitchen with a wooden spoon,,"Caption 1: a man in a red shirt is holding a wooden spoon
Caption 2: a man in a kitchen with a wooden spoon
What's the transition?"
a man in a kitchen with a wooden spoon,a man is pouring something into a bucket,,"Caption 1: a man in a kitchen with a wooden spoon
Caption 2: a man is pouring something into a bucket
What's the transition?"
a man is jumping off a snowboard,a spider is standing on top of a mountain,,"Caption 1: a man is jumping off a snowboard
Caption 2: a spider is standing on top of a mountain
What's the transition?"
a woman is sitting on the ground with a ball,a woman sitting on the ground next to a dog,,"Caption 1: a woman is sitting on the ground with a ball
Caption 2: a woman sitting on the ground next to a dog
What's the transition?"
a woman sitting on the ground next to a dog,a woman sitting on the ground next to a black bear,,"Caption 1: a woman sitting on the ground next to a dog
Caption 2: a woman sitting on the ground next to a black bear
What's the transition?"
a woman sitting on the ground next to a black bear,a white screen with a black border,,"Caption 1: a woman sitting on the ground next to a black bear
Caption 2: a white screen with a black border
What's the transition?"
a white screen with a black border,a woman is standing in front of a fence,,"Caption 1: a white screen with a black border
Caption 2: a woman is standing in front of a fence
What's the transition?"
a woman is standing in front of a fence,a lion is standing in the dirt,,"Caption 1: a woman is standing in front of a fence
Caption 2: a lion is standing in the dirt
What's the transition?"
a lion is standing in the dirt,a man is standing in front of a fence,,"Caption 1: a lion is standing in the dirt
Caption 2: a man is standing in front of a fence
What's the transition?"
a man is standing in front of a fence,a woman is sitting in the grass with a dog,,"Caption 1: a man is standing in front of a fence
Caption 2: a woman is sitting in the grass with a dog
What's the transition?"
a woman is kneeling in the grass with a dog,a woman sitting on a bench in the woods,,"Caption 1: a woman is kneeling in the grass with a dog
Caption 2: a woman sitting on a bench in the woods
What's the transition?"
a woman sitting on a bench in the woods,a woman is sitting in front of a gorilla,,"Caption 1: a woman sitting on a bench in the woods
Caption 2: a woman is sitting in front of a gorilla
What's the transition?"
a woman is sitting in front of a gorilla,a dog is walking through a fence in the snow,,"Caption 1: a woman is sitting in front of a gorilla
Caption 2: a dog is walking through a fence in the snow
What's the transition?"
a man is seen in the video of a man who is trying to get out of a doghouse,a man is seen in a video taken from the video,,"Caption 1: a man is seen in the video of a man who is trying to get out of a doghouse
Caption 2: a man is seen in a video taken from the video
What's the transition?"
a man is seen in this surveillance video,a man is seen in the doorway of a house,,"Caption 1: a man is seen in this surveillance video
Caption 2: a man is seen in the doorway of a house
What's the transition?"
a man is seen in the doorway of a building,a little boy sitting in a high chair,,"Caption 1: a man is seen in the doorway of a building
Caption 2: a little boy sitting in a high chair
What's the transition?"
a woman sitting on a bench with flowers and a doll,a woman sitting on a bench with a stuffed animal,,"Caption 1: a woman sitting on a bench with flowers and a doll
Caption 2: a woman sitting on a bench with a stuffed animal
What's the transition?"
a woman is sitting on a chair with a white sheet,a woman in a white dress is standing on a porch,,"Caption 1: a woman is sitting on a chair with a white sheet
Caption 2: a woman in a white dress is standing on a porch
What's the transition?"
a woman in a white dress is standing on a porch,a woman holding up a white sheet with a face drawn on it,,"Caption 1: a woman in a white dress is standing on a porch
Caption 2: a woman holding up a white sheet with a face drawn on it
What's the transition?"
a woman holding up a white sheet with a face drawn on it,a woman holding up a white shirt with a black cat on it,,"Caption 1: a woman holding up a white sheet with a face drawn on it
Caption 2: a woman holding up a white shirt with a black cat on it
What's the transition?"
a little girl is running in the grass,a dog is running in the grass,,"Caption 1: a little girl is running in the grass
Caption 2: a dog is running in the grass
What's the transition?"
a dog is running through a field,a baby is sitting in a high chair,,"Caption 1: a dog is running through a field
Caption 2: a baby is sitting in a high chair
What's the transition?"
a man is standing on a yellow tape,a man is falling off a soccer ball,,"Caption 1: a man is standing on a yellow tape
Caption 2: a man is falling off a soccer ball
What's the transition?"
a man is falling off a soccer ball,a man is dancing with a dog,,"Caption 1: a man is falling off a soccer ball
Caption 2: a man is dancing with a dog
What's the transition?"
a man is dancing with a dog,a man is dancing in the grass,,"Caption 1: a man is dancing with a dog
Caption 2: a man is dancing in the grass
What's the transition?"
a man is walking on a hill,a man is running up a hill,,"Caption 1: a man is walking on a hill
Caption 2: a man is running up a hill
What's the transition?"
a man is running up a hill,a man is playing with a dog in the grass,,"Caption 1: a man is running up a hill
Caption 2: a man is playing with a dog in the grass
What's the transition?"
