prev_caption,curr_caption,human_transition,input_text,generated_transition
a man in a black shirt,the cast of the vampires in a scene from the movie,,"Caption 1: a man in a black shirt
Caption 2: the cast of the vampires in a scene from the movie
What's the transition?",The scene cuts to a movie.
the cast of the vampires in a scene from the movie,a man in a suit and tie is standing in front of a crowd,,"Caption 1: the cast of the vampires in a scene from the movie
Caption 2: a man in a suit and tie is standing in front of a crowd
What's the transition?",A man in a suit and tie appears in front of the crowd.
a man in a suit and tie is standing in front of a crowd,a man in a black coat,,"Caption 1: a man in a suit and tie is standing in front of a crowd
Caption 2: a man in a black coat
What's the transition?",He is wearing a black coat.
a man in a black jacket,a man in a suit talking to a woman,,"Caption 1: a man in a black jacket
Caption 2: a man in a suit talking to a woman
What's the transition?",He is talking to a woman.
a man in a suit talking to a woman,a man holding a cell,,"Caption 1: a man in a suit talking to a woman
Caption 2: a man holding a cell
What's the transition?",The man is holding a cell phone
a man holding a cell,a group of people standing around a table,,"Caption 1: a man holding a cell
Caption 2: a group of people standing around a table
What's the transition?",People are at a table.
a boat is seen in the water as it approaches,a large explosion in the sky,,"Caption 1: a boat is seen in the water as it approaches
Caption 2: a large explosion in the sky
What's the transition?",A large explosion appears.
a large explosion in the sky,a large white object in the sky,,"Caption 1: a large explosion in the sky
Caption 2: a large white object in the sky
What's the transition?",A white object appears.
a large white object in the sky,a yellow and blue sky,,"Caption 1: a large white object in the sky
Caption 2: a yellow and blue sky
What's the transition?",The sky is yellow and blue.
a young boy wearing a green shirt,a young boy is sitting in a chair,,"Caption 1: a young boy wearing a green shirt
Caption 2: a young boy is sitting in a chair
What's the transition?",The boy sits in a chair.
a young boy is sitting in a chair,a young boy wearing headphones and a green shirt,,"Caption 1: a young boy is sitting in a chair
Caption 2: a young boy wearing headphones and a green shirt
What's the transition?",The boy is wearing headphones and a green shirt.
a group of zebras,a group of zebras grazing in a field,,"Caption 1: a group of zebras
Caption 2: a group of zebras grazing in a field
What's the transition?",The zebras continue grazing.
a white pillow sitting on top of a wooden table,a piece of white paper on a wooden table,,"Caption 1: a white pillow sitting on top of a wooden table
Caption 2: a piece of white paper on a wooden table
What's the transition?",A piece of white paper is shown on top of the table.
a woman in a bikini standing on a rock,a man is jumping off a cliff into a river,,"Caption 1: a woman in a bikini standing on a rock
Caption 2: a man is jumping off a cliff into a river
What's the transition?",The woman jumps off the cliff.
a man is jumping off a cliff into a river,a dog jumping into a body of water,,"Caption 1: a man is jumping off a cliff into a river
Caption 2: a dog jumping into a body of water
What's the transition?",A dog joins the man.
a dog jumping into a body of water,a small pond with water coming out of it,,"Caption 1: a dog jumping into a body of water
Caption 2: a small pond with water coming out of it
What's the transition?",The dog jumps into a pond.
a small pond with water coming out of it,a man is standing in the water with a bucket,,"Caption 1: a small pond with water coming out of it
Caption 2: a man is standing in the water with a bucket
What's the transition?",A man appears in the water with a bucket.
a man is standing in the water with a bucket,a man is swimming in the water,,"Caption 1: a man is standing in the water with a bucket
Caption 2: a man is swimming in the water
What's the transition?",The man continues to swim.
a picture of a dog and a balloon,a hamie is sitting on a red carpet,,"Caption 1: a picture of a dog and a balloon
Caption 2: a hamie is sitting on a red carpet
What's the transition?",A hamie appears on the red carpet.
a man feeding a rabbit in the grass,a man feeding a kangaroo in the grass,,"Caption 1: a man feeding a rabbit in the grass
Caption 2: a man feeding a kangaroo in the grass
What's the transition?",A kangaroo joins the man.
a dog is laying on the grass in the yard,a dog is laying on the ground with a tennis rack,,"Caption 1: a dog is laying on the grass in the yard
Caption 2: a dog is laying on the ground with a tennis rack
What's the transition?",The dog is using a tennis rack.
a dog is laying on the ground with a tennis rack,a man in a wheelchair is seen from above,,"Caption 1: a dog is laying on the ground with a tennis rack
Caption 2: a man in a wheelchair is seen from above
What's the transition?",A man in a wheelchair is shown standing on the ground.
a man in a wheelchair is seen from above,a man riding a bike on a sidewalk,,"Caption 1: a man in a wheelchair is seen from above
Caption 2: a man riding a bike on a sidewalk
What's the transition?",The man begins riding a bike.
a chicken eating out of a box on the ground,a chicken is walking around a box,,"Caption 1: a chicken eating out of a box on the ground
Caption 2: a chicken is walking around a box
What's the transition?",The chicken walks around the box.
a woman in a white dress,a woman sitting on a couch,,"Caption 1: a woman in a white dress
Caption 2: a woman sitting on a couch
What's the transition?",The woman sits on the couch.
a woman sitting on a couch,a woman is brushing her hair with a brush,,"Caption 1: a woman sitting on a couch
Caption 2: a woman is brushing her hair with a brush
What's the transition?",The woman starts brushing her hair.
a woman holding a kitten in her hands,a woman is holding a white shirt,,"Caption 1: a woman holding a kitten in her hands
Caption 2: a woman is holding a white shirt
What's the transition?",The woman is holding a kitten.
a woman is holding a white shirt,a woman is holding a hair dryer,,"Caption 1: a woman is holding a white shirt
Caption 2: a woman is holding a hair dryer
What's the transition?",The woman is holding a hair dryer.
a woman is holding a hair dryer,a woman holding a cat,,"Caption 1: a woman is holding a hair dryer
Caption 2: a woman holding a cat
What's the transition?",The woman holds a cat instead of a dryer.
a woman holding a cat,a woman is brushing her hair in the kitchen,,"Caption 1: a woman holding a cat
Caption 2: a woman is brushing her hair in the kitchen
What's the transition?",The woman is brushing her hair.
a plane flying in the sky,a large cloud in the sky,,"Caption 1: a plane flying in the sky
Caption 2: a large cloud in the sky
What's the transition?",A cloud appears.
a large cloud in the sky,a blue sky with white clouds,,"Caption 1: a large cloud in the sky
Caption 2: a blue sky with white clouds
What's the transition?",The sky is blue.
a group of people in colorful costumes,a group of people are gathered around a large pile of balloons,,"Caption 1: a group of people in colorful costumes
Caption 2: a group of people are gathered around a large pile of balloons
What's the transition?",They gather around a large pile of balloons.
a group of people are gathered around a large pile of balloons,a man is holding a large dragon statue,,"Caption 1: a group of people are gathered around a large pile of balloons
Caption 2: a man is holding a large dragon statue
What's the transition?",A man is holding a large dragon statue.
a man is holding a large dragon statue,a man is standing in front of a large pile of plastic bottles,,"Caption 1: a man is holding a large dragon statue
Caption 2: a man is standing in front of a large pile of plastic bottles
What's the transition?",The man stands in front of a pile of plastic bottles.
a man is standing in front of a large pile of plastic bottles,a group of people are standing in a subway station,,"Caption 1: a man is standing in front of a large pile of plastic bottles
Caption 2: a group of people are standing in a subway station
What's the transition?",People are standing in the subway station.
a group of people are standing in a subway station,a large group of people standing around a giant sculpture,,"Caption 1: a group of people are standing in a subway station
Caption 2: a large group of people standing around a giant sculpture
What's the transition?",They continue to stand around the sculpture.
a large group of people standing around a giant sculpture,a group of people standing around a dragon,,"Caption 1: a large group of people standing around a giant sculpture
Caption 2: a group of people standing around a dragon
What's the transition?",They continue to stand around the dragon.
a group of people in a room with a dragon,a group of people standing around a giant robot,,"Caption 1: a group of people in a room with a dragon
Caption 2: a group of people standing around a giant robot
What's the transition?",They are standing around a giant robot.
a man in a red shirt is holding a wooden stick,a man in a red shirt,,"Caption 1: a man in a red shirt is holding a wooden stick
Caption 2: a man in a red shirt
What's the transition?",The man is holding a wooden stick.
a man in a red shirt is holding a wooden spoon,a man in a kitchen with a wooden spoon,,"Caption 1: a man in a red shirt is holding a wooden spoon
Caption 2: a man in a kitchen with a wooden spoon
What's the transition?",The man continues to hold the spoon.
a man in a kitchen with a wooden spoon,a man is pouring something into a bucket,,"Caption 1: a man in a kitchen with a wooden spoon
Caption 2: a man is pouring something into a bucket
What's the transition?",The man is pouring something into a bucket.
a man is jumping off a snowboard,a spider is standing on top of a mountain,,"Caption 1: a man is jumping off a snowboard
Caption 2: a spider is standing on top of a mountain
What's the transition?",A spider appears on top of the mountain.
a woman is sitting on the ground with a ball,a woman sitting on the ground next to a dog,,"Caption 1: a woman is sitting on the ground with a ball
Caption 2: a woman sitting on the ground next to a dog
What's the transition?",The woman stands next to a dog.
a woman sitting on the ground next to a dog,a woman sitting on the ground next to a black bear,,"Caption 1: a woman sitting on the ground next to a dog
Caption 2: a woman sitting on the ground next to a black bear
What's the transition?",The woman sits next to a black bear.
