video,Input 1:,prev_caption,Input 2:,curr_caption,Outputs:,human_transition
0,Input 1:,a black cat is walking down a dirt path,Input 2:,a person walking down a dirt road with a dog,Outputs:,A person joins the black cat with a dog.
0,Input 1:,A dog walks down a dirt path with red flowers,Input 2:,A man walks down a dirt path with a dog,Outputs:,A man joins the dog.
0,Input 1:,A woman reads a book on a park bench,Input 2:,A woman sleeps on a park bench,Outputs:,The woman sleeps instead of reading a book.
0,Input 1:,A child plays with a blue ball in the backyard,Input 2:,A child plays with a red ball in the backyard,Outputs:,The ball changed from blue to red.
0,Input 1:,An old man feeds pigeons on a wooden bench,Input 2:,A young man feeds ducks on a wooden bench,Outputs:,A young man replaced the old man and feeds ducks instead of pigeons.
0,Input 1:,A cat sleeps on a windowsill in sunlight,Input 2:,A dog sleeps on a windowsill in moonlight,Outputs:,A dog replaced the cat and it's moonlight instead of sunlight.
0,Input 1:,Two boys ride bicycles down a suburban street,Input 2:,Two girls ride scooters down a suburban street,Outputs:,Girls with scooters replaced boys with bicycles.
0,Input 1:,A chef prepares pasta in a restaurant kitchen,Input 2:,A chef serves pasta in a restaurant dining room,Outputs:,The chef serves pasta in the dining room instead of preparing it in the kitchen.
0,Input 1:,A woman drinks coffee while typing on a laptop,Input 2:,A woman drinks tea while reading a book,Outputs:,The woman drinks tea and reads a book instead of drinking coffee and typing.
0,Input 1:,A teenage girl walks a golden retriever in the park,Input 2:,A teenage boy walks two golden retrievers in the park,Outputs:,A teenage boy walks two golden retrievers instead of a girl walking one dog.
0,Input 1:,A family has a picnic under an oak tree,Input 2:,A couple has a picnic under an oak tree,Outputs:,A couple replaced the family for the picnic.
1,Input 1:,a small mouse sitting on a bed,Input 2:,a cat sitting on a bed,Outputs:,A cat joins the mouse.
1,Input 1:,a small squirrel sitting on a table,Input 2:,a small mouse sitting on a table,Outputs:,A mouse joins the squirrel.
1,Input 1:,a small hamy sitting on a bed,Input 2:,a squirrel is sitting on a table,Outputs:,A squirrel joins the hamy.
1,Input 1:,a small bird sitting on a table,Input 2:,a small squirrel eating a piece of food,Outputs:,A squirrel joins the bird.
2,Input 1:,a man holding a bunch of sunflowers,Input 2:,a man standing in a field,Outputs:,He is standing in a field.
2,Input 1:,a man is standing in the grass,Input 2:,a man is standing in a field with a goat,Outputs:,A goat is with the man.
3,Input 1:,a man in a blue shirt,Input 2:,a man is standing on a skateboard,Outputs:,A man in blue is standing on a skateboard.
3,Input 1:,a man in a blue shirt is walking,Input 2:,a man in a blue shirt is swinging a bat,Outputs:,He swings a bat.
4,Input 1:,a man in a black shirt is hitting a ball,Input 2:,a man in a black shirt,Outputs:,He stands there.
5,Input 1:,a pot filled with boiling water and green peppers,Input 2:,a pan with some green beans in it,Outputs:,The pot continues to boil.
5,Input 1:,a pan with some green peppers in it,Input 2:,a woman in a kitchen with a dog,Outputs:,Transition to show a woman and a dog.
9,Input 1:,a young boy playing with a tennis ball,Input 2:,a young boy playing basketball on a court,Outputs:,The boy continues playing with a ball.
10,Input 1:,a woman in a swimming suit is falling off the edge of a pool,Input 2:,a woman in a bikini swims under water,Outputs:,The woman continues to swim.
10,Input 1:,a woman in a bikini swims under water,Input 2:,a woman in a blue bikini swims in the pool,Outputs:,The woman continues to swim.
13,Input 1:,a black background with a white and red flower,Input 2:,a close up of a bottle of corona corona,Outputs:,Transition to a beer bottle.
13,Input 1:,a close up of a bottle of corona corona,Input 2:,a bottle of beer sitting on top of a table,Outputs:,The bottle of beer is still being shown.
13,Input 1:,a bottle of beer sitting on top of a table,Input 2:,a man and a woman are walking in a store,Outputs:,A man and a woman are walking into a store.
13,Input 1:,a man and a woman are walking in a store,Input 2:,a boy in a white shirt,Outputs:,The man is wearing a white shirt.
13,Input 1:,a boy in a white shirt,Input 2:,a man is standing in a store with a cell,Outputs:,He is holding a cell phone.
14,Input 1:,a group of people standing on a beach,Input 2:,a group of people watching a plane flying in the sky,Outputs:,The group is looking at a plane in the sky.
14,Input 1:,a crowd of people,Input 2:,a crowd of people are gathered in a field,Outputs:,The crowd continues to gather.
15,Input 1:,a man with no shirt,Input 2:,a man in a room,Outputs:,He is in a room.
15,Input 1:,a man in a room,Input 2:,a man is lifting a barbell,Outputs:,He is lifting a barbell.
15,Input 1:,a man is lifting a barbell,Input 2:,a man with no shirt on,Outputs:,Continues to lift weights.
15,Input 1:,a man with no shirt on,Input 2:,a man is doing a trick on a skateboard,Outputs:,Does a trick.
16,Input 1:,a man in a suit and hat standing next to a woman,Input 2:,a group of people in a dance studio,Outputs:,He is in a dance studio.
16,Input 1:,a group of people in a dance studio,Input 2:,britney & the boys - i ' m a girl,Outputs:,They dance.
16,Input 1:,britney & the boys - i ' m a girl,Input 2:,a couple dancing on stage with a sign in the background,Outputs:,The couples continue to dance.
18,Input 1:,a man on a dirt bike doing a trick,Input 2:,a man is riding a motorcycle in the sand,Outputs:,The man continues to ride a motorcycle.
21,Input 1:,two men playing instruments on a television screen,Input 2:,a group of men playing instruments on a stage,Outputs:,Continue to play instruments on stage.
23,Input 1:,a man with a mustache,Input 2:,a man holding a microphone,Outputs:,He is holding a microphone
23,Input 1:,a man holding a microphone,Input 2:,a group of people sitting around a table playing drums,Outputs:,People are playing drums.
25,Input 1:,two small dogs are playing in the room,Input 2:,two dogs playing with each other dogs,Outputs:,Dogs continue to play.
26,Input 1:,a elephant standing in a pharmacy room,Input 2:,a stuffed elephant is sitting on a table,Outputs:,The stuffed elephant remains on the table.
26,Input 1:,a stuffed elephant is sitting on a table,Input 2:,a man is standing in front of a shelf of medicine,Outputs:,A man appears and is shopping.
26,Input 1:,a man is standing in front of a shelf of medicine,Input 2:,a man in a lab coat is standing next to an elephant,Outputs:,The man is standing next to the elephant.
27,Input 1:,a man is getting his hair cut by a woman,Input 2:,a man in a room with a woman in a costume,Outputs:,Continues to get his hair cut.
27,Input 1:,a man in a room with a woman in a costume,Input 2:,a man is standing in a room with a fire,Outputs:,There is a fire.
27,Input 1:,a man is standing in a room with a fire,Input 2:,a man in a room,Outputs:,The man stays in the room.
32,Input 1:,a man is cutting a piece of wood,Input 2:,a man is putting a dish into a dishwasher,Outputs:,The man is cleaning dishes.
